index,timestamp,mq9,mq135
724,760599,71,59
725,761604,74,63
726,762609,64,75
727,763614,68,72
728,764619,76,66
729,765692,71,65
730,766697,76,64
731,767702,70,64
732,768707,65,62
733,769712,70,78
734,770717,75,65
735,771722,70,70
736,772727,69,64
737,773797,67,69
738,774803,65,67
739,775808,64,64
740,776813,69,71
741,777818,79,73
742,778823,71,63
743,779828,66,70
744,780898,77,79
745,781903,64,62
746,782908,71,67
747,783913,74,68
748,784918,73,63
749,785923,69,64
750,786928,64,76
751,787996,78,65
752,789001,68,75
753,790006,70,80
754,791011,69,81
755,792016,79,75
756,793021,74,70
757,794026,73,57
758,795096,64,68
759,796101,67,73
760,797106,66,73
761,798111,69,70
762,799116,73,65
763,800121,66,77
764,801126,71,64
765,802131,74,62
766,803199,69,70
767,804204,74,74
768,805209,70,67
769,806215,67,75
770,807220,67,80
771,808225,70,74
772,809230,71,63
773,810301,79,73
774,811306,77,67
775,812311,68,67
776,813316,76,64
777,814321,74,59
778,815326,67,58
779,816331,73,69
780,817402,66,64
781,818407,77,74
782,819412,66,73
783,820417,73,78
784,821422,80,67
785,822428,70,70
786,823433,63,71
787,824504,61,59
788,825509,69,70
789,826514,69,64
790,827519,64,67
791,828524,70,63
792,829529,74,67
793,830534,75,67
794,831539,69,71
795,832602,68,80
796,833607,68,74
797,834612,64,66
798,835617,69,71
799,836622,69,71
800,837627,66,64
801,838633,64,78
802,839701,70,67
803,840706,64,61
804,841711,64,75
805,842716,64,64
806,843721,67,67
807,844726,70,52
808,845731,61,55
809,846804,70,75
810,847809,67,67
811,848814,79,66
812,849819,67,66
813,850824,69,80
814,851829,69,71
815,852834,65,64
816,853840,62,66
817,854912,71,62
818,855917,63,79
819,856922,77,67
820,857927,71,80
821,858932,65,64
822,859937,73,80
823,860942,71,67
824,862011,67,51
825,863016,69,59
826,864021,64,78
827,865026,65,80
828,866031,71,64
829,867036,64,83
830,868041,70,64
831,869109,62,57
832,870115,73,70
833,871120,70,64
834,872125,64,64
835,873130,67,72
836,874135,75,66
837,875140,71,71
838,876203,69,66
839,877208,69,60
840,878213,64,66
841,879218,69,74
842,880223,66,64
843,881228,66,64
844,882233,64,64
845,883241,64,68
846,884316,65,64
847,885321,69,64
848,886327,64,75
849,887332,64,70
850,888337,71,77
851,889342,67,67
852,890347,71,66
853,891418,69,64
854,892423,72,66
855,893428,71,62
856,894433,70,64
857,895438,64,72
858,896443,75,71
859,897448,68,65
860,898520,74,73
861,899525,67,68
862,900530,76,65
863,901536,69,64
864,902541,75,73
865,903546,64,62
866,904551,69,71
867,905636,61,54
868,906658,66,79
869,907663,66,65
870,908668,64,65
871,909673,73,66
872,910678,78,65
873,911683,70,70
874,912688,74,73
875,913760,69,65
876,914765,69,60
877,915770,77,77
878,916775,75,67
879,917781,71,68
880,918786,65,68
881,919791,70,67
882,920863,71,61
883,921868,75,75
884,922873,74,70
885,923878,69,73
886,924883,73,64
887,925888,75,74
888,926893,66,61
889,927960,64,71
890,928965,58,78
891,929970,66,67
892,930975,70,75
893,931980,71,73
894,932985,64,74
895,933991,64,66
896,935061,63,68
897,936067,75,64
898,937072,69,69
899,938077,73,66
900,939082,75,70
901,940087,67,80
902,941092,64,64
903,942097,70,73
904,943168,68,67
905,944173,73,61
906,945178,64,64
907,946183,71,65
908,947188,73,65
909,948193,54,66
910,949199,61,58
911,950269,73,66
912,951274,71,61
913,952279,66,64
914,953284,73,67
915,954289,64,64
916,955294,67,68
917,956299,67,72
918,957371,67,59
919,958376,64,65
920,959381,66,64
921,960386,65,65
922,961391,64,64
923,962396,69,61
924,963401,70,64
925,964406,65,70
926,965478,64,80
927,966483,68,70
928,967488,63,72
929,968493,62,76
930,969498,65,48
931,970503,64,55
932,971508,65,61
933,972582,69,62
934,973587,66,71
935,974592,67,65
936,975597,64,65
937,976602,64,64
938,977607,69,58
939,978612,71,77
940,979683,67,69
941,980688,64,64
942,981694,73,79
943,982699,65,68
944,983704,69,64
945,984709,70,65
946,985714,64,64
947,986788,77,66
948,987793,65,59
949,988798,64,67
950,989803,64,70
951,990808,68,62
952,991813,68,64
953,992818,68,63
954,993823,70,69
955,994887,62,68
956,995892,71,59
957,996898,74,71
958,997903,64,73
959,998908,65,69
960,999913,69,77
961,1000918,64,54
962,1001989,65,61
963,1002994,68,73
964,1003999,67,66
965,1005004,70,62
966,1006009,68,64
967,1007014,74,69
968,1008019,65,58
969,1009090,64,65
970,1010095,73,55
971,1011100,73,62
972,1012105,67,64
973,1013111,69,63
974,1014116,65,48
975,1015121,71,67
976,1016193,65,64
977,1017199,64,57
978,1018204,64,64
979,1019209,74,64
980,1020214,64,64
981,1021219,77,68
982,1022224,67,59
983,1023229,69,70
984,1024301,66,66
985,1025306,72,61
986,1026311,77,73
987,1027316,69,70
988,1028321,67,64
989,1029327,70,67
990,1030332,74,64
991,1031404,64,67
992,1032409,66,62
993,1033414,74,73
994,1034419,74,51
995,1035424,67,65
996,1036429,64,66
997,1037434,64,75
998,1038504,71,70
999,1039509,80,65
1000,1040514,66,68
1001,1041519,67,71
1002,1042524,69,69
1003,1043529,71,64
1004,1044534,61,62
1005,1045540,66,64
1006,1046610,79,57
1007,1047615,68,66
1008,1048620,76,80
1009,1049625,66,61
1010,1050630,65,66
1011,1051635,76,67
1012,1052640,67,73
1013,1053713,65,51
1014,1054718,64,74
1015,1055723,67,65
1016,1056728,69,80
1017,1057733,64,64
1018,1058738,65,64
1019,1059743,62,80
1020,1060818,70,63
1021,1061824,74,70
1022,1062829,62,64
1023,1063834,74,73
1024,1064839,68,67
1025,1065844,68,64
1026,1066849,70,73
1027,1067921,70,64
1028,1068926,67,64
1029,1069931,61,71
1030,1070936,65,60
1031,1071941,73,66
1032,1072946,59,47
1033,1073951,69,68
1034,1074956,64,71
1035,1076028,64,64
1036,1077034,69,68
1037,1078039,74,58
1038,1079044,70,68
1039,1080049,70,74
1040,1081054,73,64
1041,1082059,69,57
1042,1083131,64,53
1043,1084136,70,63
1044,1085141,69,71
1045,1086146,64,66
1046,1087151,78,65
1047,1088156,65,67
1048,1089161,66,69
1049,1090233,76,73
1050,1091238,70,66
1051,1092243,65,64
1052,1093249,62,67
1053,1094254,64,63
1054,1095259,73,59
1055,1096264,74,77
1056,1097333,70,64
1057,1098338,62,64
1058,1099343,65,67
1059,1100348,67,65
1060,1101353,71,65
1061,1102358,64,64
1062,1103363,70,69
1063,1104368,70,61
1064,1105439,66,65
1065,1106444,67,65
1066,1107449,73,74
1067,1108455,68,69
1068,1109460,73,65
1069,1110465,69,71
1070,1111470,74,59
1071,1112539,71,56
1072,1113544,66,69
1073,1114549,74,70
1074,1115554,66,69
1075,1116559,75,64
1076,1117564,65,71
1077,1118569,74,64
1078,1119640,69,59
1079,1120645,64,70
1080,1121650,69,69
1081,1122655,66,61
1082,1123660,67,69
1083,1124666,64,53
1084,1125671,75,74
1085,1126745,65,66
1086,1127750,73,69
1087,1128755,71,70
1088,1129760,64,73
1089,1130765,65,55
1090,1131770,66,64
1091,1132775,69,64
1092,1133780,71,73
1093,1134849,74,55
1094,1135854,77,61
1095,1136859,64,62
1096,1137864,64,68
1097,1138869,69,73
1098,1139874,67,61
1099,1140880,68,65
1100,1141952,68,63
1101,1142957,68,75
1102,1143962,60,64
1103,1144967,62,64
1104,1145972,63,54
1105,1146977,69,54
1106,1147982,64,58
1107,1149058,63,69
1108,1150063,64,60
1109,1151068,65,58
1110,1152073,71,53
1111,1153078,64,58
1112,1154083,75,46
1113,1155088,65,64
1114,1156094,65,64
1115,1157163,74,64
1116,1158168,64,76
1117,1159173,71,71
1118,1160178,70,64
1119,1161183,69,64
1120,1162188,64,58
1121,1163193,78,66
1122,1164262,74,67
1123,1165267,64,55
1124,1166272,80,61
1125,1167277,66,66
1126,1168282,69,69
1127,1169287,69,64
1128,1170292,66,67
1129,1171361,67,80
1130,1172367,63,59
1131,1173372,61,69
1132,1174377,79,69
1133,1175382,73,63
1134,1176387,66,60
1135,1177392,64,65
1136,1178462,67,59
1137,1179467,70,65
1138,1180472,75,64
1139,1181477,74,75
1140,1182482,75,78
1141,1183487,69,62
1142,1184492,63,57
1143,1185497,64,65
1144,1186567,65,66
1145,1187572,69,63
1146,1188578,71,70
1147,1189583,71,68
1148,1190588,69,64
1149,1191593,65,60
1150,1192598,73,61
1151,1193673,71,64
1152,1194678,65,58
1153,1195683,67,80
1154,1196688,64,80
1155,1197693,69,64
1156,1198698,69,57
1157,1199703,66,64
1158,1200778,74,65
1159,1201783,66,71
1160,1202788,72,61
1161,1203794,69,64
1162,1204799,77,62
1163,1205804,67,73
1164,1206809,64,68
1165,1207884,65,70
1166,1208889,66,70
1167,1209894,64,64
1168,1210899,72,64
1169,1211904,73,70
1170,1212909,67,78
1171,1213914,74,69
1172,1214919,66,73
1173,1215994,66,67
1174,1216999,73,74
1175,1218004,73,80
1176,1219009,62,61
1177,1220015,59,68
1178,1221020,64,61
1179,1222025,71,58
1180,1223100,76,79
1181,1224105,65,62
1182,1225110,71,74
1183,1226115,77,71
1184,1227120,71,77
1185,1228125,69,65
1186,1229130,70,54
1187,1230203,64,64
1188,1231208,64,64
1189,1232213,71,64
1190,1233218,64,74
1191,1234223,69,67
1192,1235228,66,65
1193,1236234,64,64
1194,1237297,71,75
1195,1238302,64,64
1196,1239307,75,69
1197,1240312,67,64
1198,1241317,68,62
1199,1242322,64,64
1200,1243327,64,64
1201,1244332,64,63
1202,1245395,70,63
1203,1246400,74,71
1204,1247405,71,64
1205,1248410,69,59
1206,1249415,80,67
1207,1250420,74,80
1208,1251426,68,75
1209,1252489,67,64
1210,1253494,74,58
1211,1254499,75,67
1212,1255504,68,78
1213,1256509,70,65
1214,1257514,65,64
1215,1258519,73,75
1216,1259593,74,64
1217,1260598,69,62
1218,1261603,64,67
1219,1262608,65,77
1220,1263613,67,67
1221,1264618,73,63
1222,1265623,59,70
1223,1266628,74,70
1224,1267700,68,79
1225,1268705,65,65
1226,1269710,66,64
1227,1270715,78,64
1228,1271720,67,59
1229,1272725,75,64
1230,1273730,67,73
1231,1274799,73,66
1232,1275804,74,64
1233,1276809,70,65
1234,1277814,67,65
1235,1278819,65,64
1236,1279824,69,64
1237,1280829,65,74
1238,1281898,69,55
1239,1282903,76,61
1240,1283909,74,70
1241,1284914,71,73
1242,1285919,67,64
1243,1286924,66,66
1244,1287929,73,69
1245,1288998,67,73
1246,1290003,64,62
1247,1291008,67,64
1248,1292013,75,70
1249,1293018,74,62
1250,1294023,68,69
1251,1295028,74,64
1252,1296033,64,64
1253,1297102,65,65
1254,1298107,75,77
1255,1299112,71,58
1256,1300118,80,76
1257,1301123,72,75
1258,1302128,61,64
1259,1303133,75,71
1260,1304201,67,74
1261,1305206,67,63
1262,1306211,67,64
1263,1307216,73,73
1264,1308221,74,60
1265,1309226,65,73
1266,1310231,75,69
1267,1311309,69,54
1268,1312314,74,77
1269,1313319,75,66
1270,1314324,69,70
1271,1315330,71,64
1272,1316335,66,66
1273,1317340,74,67
1274,1318415,64,64
1275,1319420,67,63
1276,1320425,64,74
1277,1321430,77,64
1278,1322435,78,53
1279,1323440,67,63
1280,1324445,64,64
1281,1325450,63,69
1282,1326525,67,77
1283,1327530,71,64
1284,1328535,75,73
1285,1329540,66,64
1286,1330545,69,57
1287,1331551,73,66
1288,1332556,67,75
1289,1333631,77,77
1290,1334636,65,66
1291,1335641,64,67
1292,1336646,67,64
1293,1337651,74,65
1294,1338656,71,70
1295,1339661,69,51
1296,1340736,64,77
1297,1341741,73,64
1298,1342746,65,68
1299,1343751,71,56
1300,1344756,71,64
1301,1345761,73,73
1302,1346766,75,80
1303,1347772,68,67
1304,1348849,75,64
1305,1349854,65,68
1306,1350859,67,74
1307,1351864,74,76
1308,1352869,71,67
1309,1353874,64,79
1310,1354879,69,74
1311,1355942,69,66
1312,1356947,74,73
1313,1357952,77,64
1314,1358957,64,73
1315,1359962,68,69
1316,1360967,64,65
1317,1361972,65,64
1318,1363040,68,62
1319,1364045,77,65
1320,1365050,80,59
1321,1366055,78,59
1322,1367060,71,71
1323,1368065,71,76
1324,1369070,76,74
1325,1370133,66,68
1326,1371138,62,61
1327,1372143,68,64
1328,1373148,63,73
1329,1374153,69,64
1330,1375158,69,70
1331,1376163,66,69
1332,1377168,70,61
1333,1378242,64,77
1334,1379248,66,73
1335,1380253,70,57
1336,1381258,66,72
1337,1382263,80,60
1338,1383268,69,66
1339,1384273,74,58
1340,1385344,64,65
1341,1386349,80,64
1342,1387354,77,67
1343,1388359,68,74
1344,1389364,64,74
1345,1390369,66,73
1346,1391374,75,65
1347,1392443,71,65
1348,1393448,64,65
1349,1394453,71,65
1350,1395459,77,64
1351,1396464,66,67
1352,1397469,64,55
1353,1398474,77,54
1354,1399543,75,64
1355,1400548,68,64
1356,1401553,74,50
1357,1402558,67,74
1358,1403563,70,64
1359,1404568,64,64
1360,1405573,63,55
1361,1406578,79,65
1362,1407647,74,79
1363,1408652,71,65
1364,1409657,68,70
1365,1410663,66,65
1366,1411668,73,60
1367,1412673,68,66
1368,1413678,70,78
1369,1414748,71,58
1370,1415753,65,76
1371,1416758,73,59
1372,1417763,65,78
1373,1418768,67,62
1374,1419773,77,68
1375,1420778,73,73
1376,1421848,69,71
1377,1422853,68,74
1378,1423858,79,64
1379,1424863,71,65
1380,1425868,64,67
1381,1426874,67,67
1382,1427879,66,80
1383,1428954,73,64
1384,1429959,79,62
1385,1430964,69,65
1386,1431969,74,69
1387,1432974,71,64
1388,1433979,67,59
1389,1434984,64,64
1390,1435989,67,65
1391,1437064,74,65
1392,1438069,62,66
1393,1439074,67,80
1394,1440079,66,64
1395,1441084,73,67
1396,1442089,66,59
1397,1443095,67,73
1398,1444170,75,78
1399,1445175,65,64
1400,1446180,73,64
1401,1447185,66,74
1402,1448190,73,75
1403,1449195,70,80
1404,1450200,70,65
1405,1451275,76,67
1406,1452280,71,64
1407,1453285,73,54
1408,1454290,74,61
1409,1455295,75,64
1410,1456300,65,64
1411,1457305,68,69
1412,1458311,65,64
1413,1459386,65,70
1414,1460391,67,61
1415,1461396,73,57
1416,1462401,77,69
1417,1463406,74,79
1418,1464411,73,57
1419,1465416,74,80
1420,1466489,72,64
1421,1467494,70,62
1422,1468499,72,62
1423,1469504,64,62
1424,1470509,74,77
1425,1471514,70,65
1426,1472519,65,70
1427,1473580,67,61
1428,1474586,71,66
1429,1475591,73,74
1430,1476596,64,69
1431,1477601,65,66
1432,1478606,70,70
1433,1479611,65,64
1434,1480671,67,58
1435,1481676,66,65
1436,1482681,77,62
1437,1483686,73,60
1438,1484691,73,58
1439,1485696,69,53
1440,1486701,80,78
1441,1487706,64,62
1442,1488772,80,74
1443,1489777,77,77
1444,1490783,77,70
1445,1491788,78,54
