datetime,timestamp_ms,mq9_value,mq135_value
1970-01-01 00:10:35.062,635062,85,23
1970-01-01 00:02:17.080,137080,86,23
1970-01-01 00:10:36.202,636202,83,31
1970-01-01 00:02:18.220,138220,84,23
1970-01-01 00:10:38.222,638222,90,30
1970-01-01 00:02:20.234,140234,80,26
1970-01-01 00:10:39.312,639312,80,34
1970-01-01 00:02:21.330,141330,82,33
1970-01-01 00:10:40.422,640422,83,29
1970-01-01 00:02:22.440,142440,80,30
1970-01-01 00:10:41.532,641532,85,24
1970-01-01 00:02:23.550,143550,80,23
1970-01-01 00:10:42.642,642642,90,36
1970-01-01 00:02:24.660,144660,83,31
1970-01-01 00:10:43.762,643762,78,19
1970-01-01 00:02:25.770,145770,81,16
1970-01-01 00:10:44.862,644862,84,35
1970-01-01 00:02:26.880,146880,86,29
1970-01-01 00:10:45.992,645992,89,32
1970-01-01 00:02:28.000,148000,86,21
1970-01-01 00:10:47.102,647102,87,33
1970-01-01 00:02:29.110,149110,88,35
1970-01-01 00:10:48.192,648192,81,22
1970-01-01 00:02:30.210,150210,85,16
1970-01-01 00:10:49.312,649312,83,19
1970-01-01 00:02:31.320,151320,86,23
1970-01-01 00:10:50.432,650432,89,28
1970-01-01 00:02:32.443,152443,89,24
1970-01-01 00:10:51.545,651545,80,21
1970-01-01 00:02:33.562,153562,86,33
1970-01-01 00:10:52.663,652663,83,21
1970-01-01 00:02:34.680,154680,80,19
1970-01-01 00:10:53.792,653792,87,21
1970-01-01 00:02:35.791,155791,87,27
1970-01-01 00:10:54.902,654902,83,26
1970-01-01 00:02:36.920,156920,80,32
1970-01-01 00:10:56.042,656042,80,22
1970-01-01 00:02:38.041,158041,84,27
1970-01-01 00:10:57.142,657142,87,30
1970-01-01 00:02:39.160,159160,84,30
1970-01-01 00:10:58.272,658272,82,37
1970-01-01 00:02:40.290,160290,85,34
1970-01-01 00:10:59.402,659402,85,23
1970-01-01 00:02:41.420,161420,86,30
1970-01-01 00:11:00.542,660542,88,23
1970-01-01 00:02:42.550,162550,90,32
1970-01-01 00:11:01.672,661672,82,27
1970-01-01 00:02:43.681,163681,81,23
1970-01-01 00:11:02.802,662802,84,25
1970-01-01 00:02:44.820,164820,78,19
1970-01-01 00:11:03.952,663952,83,31
1970-01-01 00:02:45.970,165970,91,34
1970-01-01 00:11:05.092,665092,76,23
1970-01-01 00:02:47.110,167110,87,27
1970-01-01 00:11:06.222,666222,80,28
1970-01-01 00:02:48.240,168240,82,27
1970-01-01 00:11:07.362,667362,87,25
1970-01-01 00:02:49.373,169373,84,32
1970-01-01 00:11:08.502,668502,88,31
1970-01-01 00:02:50.520,170520,86,29
1970-01-01 00:11:09.642,669642,89,22
1970-01-01 00:02:51.650,171650,83,21
1970-01-01 00:11:10.772,670772,82,32
1970-01-01 00:02:52.788,172788,86,30
1970-01-01 00:11:12.792,672792,69,27
1970-01-01 00:02:54.804,174804,80,17
1970-01-01 00:11:13.892,673892,85,33
1970-01-01 00:02:55.910,175910,89,35
1970-01-01 00:11:15.002,675002,83,23
1970-01-01 00:02:57.020,177020,89,31
1970-01-01 00:11:16.122,676122,80,23
1970-01-01 00:02:58.140,178140,87,36
1970-01-01 00:11:17.242,677242,90,29
1970-01-01 00:02:59.260,179260,80,21
1970-01-01 00:11:18.362,678362,80,32
1970-01-01 00:03:00.380,180380,89,27
1970-01-01 00:11:19.482,679482,91,32
1970-01-01 00:03:01.500,181500,87,31
1970-01-01 00:11:20.602,680602,81,32
1970-01-01 00:03:02.620,182620,83,23
1970-01-01 00:11:21.722,681722,87,32
1970-01-01 00:03:03.740,183740,89,23
1970-01-01 00:11:22.832,682832,68,27
1970-01-01 00:03:04.850,184850,87,42
1970-01-01 00:11:23.952,683952,91,37
1970-01-01 00:03:05.970,185970,80,29
1970-01-01 00:11:25.082,685082,83,28
1970-01-01 00:03:07.091,187091,77,12
1970-01-01 00:11:26.202,686202,92,43
1970-01-01 00:03:08.265,188265,82,35
1970-01-01 00:11:27.372,687372,83,29
1970-01-01 00:03:09.390,189390,81,30
1970-01-01 00:11:28.502,688502,77,29
1970-01-01 00:03:10.520,190520,84,32
1970-01-01 00:11:29.632,689632,83,34
1970-01-01 00:03:11.650,191650,80,27
1970-01-01 00:11:30.762,690762,79,38
1970-01-01 00:03:12.780,192780,84,27
1970-01-01 00:11:31.922,691922,84,29
1970-01-01 00:03:13.940,193940,83,32
1970-01-01 00:11:33.012,693012,83,31
1970-01-01 00:03:15.030,195030,80,16
1970-01-01 00:11:34.102,694102,84,33
1970-01-01 00:03:16.120,196120,81,27
1970-01-01 00:11:35.192,695192,80,33
1970-01-01 00:03:17.204,197204,83,30
1970-01-01 00:11:36.292,696292,85,31
1970-01-01 00:03:18.310,198310,90,33
1970-01-01 00:11:37.392,697392,87,31
1970-01-01 00:03:19.410,199410,84,23
1970-01-01 00:11:38.491,698491,91,27
1970-01-01 00:03:20.510,200510,75,17
1970-01-01 00:11:39.592,699592,84,33
1970-01-01 00:03:21.610,201610,83,30
1970-01-01 00:11:40.682,700682,83,30
1970-01-01 00:03:22.700,202700,82,25
1970-01-01 00:11:41.782,701782,85,37
1970-01-01 00:03:23.800,203800,86,26
1970-01-01 00:11:42.882,702882,94,27
1970-01-01 00:03:24.900,204900,82,21
1970-01-01 00:11:43.982,703982,88,32
1970-01-01 00:03:26.000,206000,82,33
1970-01-01 00:11:45.082,705082,85,25
1970-01-01 00:03:27.100,207100,86,27
1970-01-01 00:11:47.042,707042,82,30
1970-01-01 00:03:29.054,209054,83,37
1970-01-01 00:11:48.112,708112,85,32
1970-01-01 00:03:30.130,210130,82,32
1970-01-01 00:11:49.202,709202,82,29
1970-01-01 00:03:31.220,211220,87,26
1970-01-01 00:11:50.272,710272,77,23
1970-01-01 00:03:32.290,212290,90,27
1970-01-01 00:11:51.352,711352,69,27
1970-01-01 00:03:33.370,213370,82,29
1970-01-01 00:11:52.422,712422,74,31
1970-01-01 00:03:34.440,214440,87,32
1970-01-01 00:11:53.502,713502,88,12
1970-01-01 00:03:35.520,215520,82,32
1970-01-01 00:11:54.582,714582,75,16
1970-01-01 00:03:36.600,216600,80,32
1970-01-01 00:11:55.662,715662,87,27
1970-01-01 00:03:37.680,217680,89,18
1970-01-01 00:11:56.742,716742,85,21
1970-01-01 00:03:38.760,218760,86,27
1970-01-01 00:11:57.822,717822,85,30
1970-01-01 00:03:39.840,219840,81,30
1970-01-01 00:11:58.902,718902,85,28
1970-01-01 00:03:40.920,220920,89,31
1970-01-01 00:11:59.992,719992,82,22
1970-01-01 00:03:42.010,222010,77,27
1970-01-01 00:12:01.072,721072,80,26
1970-01-01 00:03:43.090,223090,80,22
1970-01-01 00:12:02.162,722162,86,23
1970-01-01 00:03:44.180,224180,90,16
1970-01-01 00:12:03.262,723262,83,23
1970-01-01 00:03:45.263,225263,90,27
1970-01-01 00:12:04.352,724352,77,18
1970-01-01 00:03:46.351,226351,82,29
1970-01-01 00:12:05.425,725425,80,22
1970-01-01 00:03:47.440,227440,77,21
1970-01-01 00:12:06.512,726512,83,32
1970-01-01 00:03:48.530,228530,87,25
1970-01-01 00:12:07.602,727602,86,25
1970-01-01 00:03:49.610,229610,81,22
1970-01-01 00:12:08.682,728682,84,19
1970-01-01 00:03:50.690,230690,90,28
1970-01-01 00:12:09.782,729782,80,17
1970-01-01 00:03:51.790,231790,80,18
1970-01-01 00:12:10.882,730882,80,25
1970-01-01 00:03:52.890,232890,83,28
1970-01-01 00:12:11.982,731982,77,17
1970-01-01 00:03:53.990,233990,74,29
1970-01-01 00:12:13.082,733082,82,32
1970-01-01 00:03:55.090,235090,80,20
1970-01-01 00:12:14.182,734182,80,20
1970-01-01 00:03:56.190,236190,81,21
1970-01-01 00:12:15.292,735292,80,26
1970-01-01 00:03:57.300,237300,86,25
1970-01-01 00:12:16.382,736382,81,32
1970-01-01 00:03:58.400,238400,84,22
1970-01-01 00:12:17.482,737482,90,29
1970-01-01 00:03:59.491,239491,84,29
1970-01-01 00:12:18.582,738582,85,26
1970-01-01 00:04:00.593,240593,84,31
1970-01-01 00:12:20.572,740572,89,26
1970-01-01 00:04:02.581,242581,86,19
1970-01-01 00:12:21.652,741652,81,32
1970-01-01 00:04:03.663,243663,83,26
1970-01-01 00:12:22.722,742722,86,35
1970-01-01 00:04:04.740,244740,87,33
1970-01-01 00:12:23.802,743802,82,29
1970-01-01 00:04:05.820,245820,82,19
1970-01-01 00:12:24.892,744892,80,22
1970-01-01 00:04:06.910,246910,86,32
1970-01-01 00:12:25.982,745982,82,20
1970-01-01 00:04:08.000,248000,80,22
1970-01-01 00:12:27.072,747072,80,24
1970-01-01 00:04:09.090,249090,86,25
1970-01-01 00:12:28.162,748162,80,20
1970-01-01 00:04:10.180,250180,84,23
1970-01-01 00:12:29.242,749242,84,27
1970-01-01 00:04:11.260,251260,80,27
1970-01-01 00:12:30.322,750322,83,28
1970-01-01 00:04:12.340,252340,83,32
1970-01-01 00:12:31.402,751402,91,32
1970-01-01 00:04:13.420,253420,85,30
1970-01-01 00:12:32.492,752492,90,30
1970-01-01 00:04:14.510,254510,83,28
1970-01-01 00:12:33.592,753592,80,18
1970-01-01 00:04:15.610,255610,83,27
1970-01-01 00:12:34.682,754682,83,25
1970-01-01 00:04:16.700,256700,80,25
1970-01-01 00:12:35.782,755782,87,31
1970-01-01 00:04:17.791,257791,80,30
1970-01-01 00:12:36.872,756872,80,22
1970-01-01 00:04:18.883,258883,81,23
1970-01-01 00:12:37.952,757952,84,26
1970-01-01 00:04:19.970,259970,80,33
1970-01-01 00:12:39.042,759042,83,17
1970-01-01 00:04:21.060,261060,89,22
1970-01-01 00:12:40.142,760142,76,16
1970-01-01 00:04:22.160,262160,83,30
1970-01-01 00:12:42.412,762412,80,22
1970-01-01 00:04:25.220,265220,80,28
1970-01-01 00:12:43.492,763492,81,28
1970-01-01 00:04:26.370,266370,81,25
1970-01-01 00:12:44.572,764572,83,29
1970-01-01 00:04:27.480,267480,80,28
1970-01-01 00:12:45.657,765657,81,16
1970-01-01 00:04:28.580,268580,80,33
1970-01-01 00:12:46.758,766758,91,21
1970-01-01 00:04:29.680,269680,76,18
1970-01-01 00:12:47.857,767857,80,21
1970-01-01 00:04:30.780,270780,80,23
1970-01-01 00:12:48.958,768958,81,23
1970-01-01 00:04:31.880,271880,79,16
1970-01-01 00:12:50.068,770068,80,28
1970-01-01 00:04:32.990,272990,86,26
1970-01-01 00:12:51.168,771168,83,28
